Movie,Critic Score,Audience Score
Shazam!,91,84
Love Ranch,13,28
Alita: Battle Angel,61,93
UglyDolls,27,58
The Red Sea Diving Resort,30,84
Iron Sky: The Coming Race,33,27
Breakthrough,60,82
Little Woods,96,51
Ash Is Purest White,99,71
Teen Spirit,72,63
Girls with Balls,38,27
The Souvenir,90,34
Sword of Trust,93,73
Saving Zoe,0,60
Above the Shadows,40,78
Armstrong,74,87
Bottom of the 9th,64,88
Into the Ashes,28,36
"Frankenstein's Monster's Monster, Frankenstein",82,65
The Edge of Love,37,43
Ophelia,60,60
Euphoria,20,37
The Aftermath,27,60
Dumbo,46,51
Maze,100,50
Pet Sematary,57,35
Swinging Safari,76,64
Styx,94,65
Transit,95,67
High Life,83,42
Little,46,66
The Public,64,85
Nightmare Cinema,76,59
After,18,73
The Hummingbird Project,58,55
The Command (Kursk),72,65
Skin in the Game,80,88
The Best of Enemies,53,77
An Acceptable Loss,13,90
Making Babies,25,64
Mia and the White Lion,88,54
Killers Anonymous,0,25
The Poison Rose,0,25
Escape Plan: The Extractors,33,40
Between the Lines,92,54
Wonder Park,34,43
Under the Silver Lake,57,58
SoulMate,100,80
May It Last: A Portrait of the Avett Brothers,89,97
Hampstead,44,39
Captive State,44,39
Slaughterhouse Rulez,41,64
"Hale County This Morning, This Evening",97,38
Momentum Generation,100,100
Us,94,62
Five Feet Apart,55,79
Beats,100,59
The Beach Bum,55,30
Giant Little Ones,92,79
Hotel Mumbai,77,85
Head Count,69,60
Run the Race,40,85
No Manches Frida 2,13,27
Leprechaun Returns,38,54
The Mustang,93,76
The Wolf's Call (Le chant du loup),100,62
Plus One,89,85
Murder Mystery,45,38
The Outsider,53,62
Captain Marvel,78,55
A Space Program,87,80
Mapplethorpe,31,67
Katie Says Goodbye,39,80
Isn't It Romantic,69,48
